"N","a","t","s","H","rho_Psi","w_Psi"
-4.27,0.013981783153338308,0.0019581450846323407,365857.79550064215,334.5980685494247,1.566,-1
-4.26,0.014122302410163962,0.0019882581698194577,355045.06355750165,329.5843788980856,1.566,-1
-4.25,0.014264233908999256,0.0020188294399110717,344551.8961378237,324.6461256085577,1.566,-1
-4.24,0.01440759184311235,0.002049865919717382,334368.8486826205,319.7821661374041,1.566,-1
-4.23,0.014552390548416123,0.002081374634048587,324486.75576180604,314.9913754281466,1.566,-1
-4.22,0.014698644504901784,0.0021133626077148864,314896.72282469034,310.2726456392733,1.566,-1
-4.21,0.014846368338086832,0.0021458368660862764,305590.1181942833,305.6248858765766,1.566,-1
-4.2,0.014995576820477703,0.0021788046420764015,296558.5652982029,301.04702192975543,1.566,-1
-4.19,0.01514628487304698,0.002212273660506749,287793.93512919464,296.53799601320895,1.566,-1
-4.18,0.015298507566725518,0.0022462517162761745,279288.33892847603,292.09676651095015,1.566,-1
-4.17,0.015452260123909515,0.002280746604283533,271034.12108532153,287.7223077255781,1.566,-1
-4.16,0.01560755791998283,0.00231576611942768,263023.85224649584,283.41360963123424,1.566,-1
-4.15,0.015764416484854486,0.00235131805660747,255250.3226293346,279.16967763048444,1.566,-1
-4.14,0.015922851504511698,0.0023874102126589048,247706.53553245348,274.98953231505925,1.566,-1
-4.13,0.016082878822588433,0.0024240506532865226,240385.70103824433,270.8722092303867,1.566,-1
-4.12,0.01624451444194987,0.0024612479683805717,233281.22990149117,266.81675864386085,1.566,-1
-4.11,0.016407774526292645,0.0024990108072977346,226386.7276186048,262.82224531678196,1.566,-1
-4.1,0.016572675401761255,0.002537347819394693,219695.98867213773,258.88774827990665,1.566,-1
-4.09,0.016739233558580632,0.0025762676540281287,213202.9909453997,255.01236061255233,1.566,-1
-4.08,0.01690746565270528,0.002615778960554724,206901.89030214617,251.19518922519754,1.566,-1
-4.07,0.017077388507484793,0.002655890393088511,200787.01532646117,247.435354645517,1.566,-1
-4.06,0.01724901911534628,0.002696610948036324,194852.86221810008,243.73199080780114,1.566,-1
-4.05,0.017422374639493515,0.0027379501736802055,189094.0898386981,240.08424484570173,1.566,-1
-4.04,0.017597472415623393,0.0027799176674417584,183505.5149043849,236.49127688824822,1.566,-1
-4.03,0.01777432995365944,0.0028225230267425855,178082.10732047952,232.95225985908615,1.566,-1
-4.02,0.017952964939502866,0.0028657758490042893,172818.98565406544,229.46637927887946,1.566,-1
