"N","a","t","phi","phidot","H","w_phi"
-3.83,0.02170961562984857,0.0038245089018020665,0.000006641826625517941,0.0034587874035777407,172.33430100210467,-0.9999955479768556
-3.82,0.02192780089426162,0.0038829748258996963,0.000006845582679095845,0.0035113432934177576,169.75790078086217,-0.9999954116523369
-3.81,0.022148178957037315,0.003942328043149784,0.000007055573459001259,0.003564694878912289,167.2201242232942,-0.9999952711610873
-3.8,0.0223707718561656,0.004002582122946029,0.000007271993522429024,0.0036188543163960065,164.72038979865033,-0.999995126375572
-3.79,0.022595601851121864,0.0040637506353351435,0.000007495037449244375,0.0036738337627879895,162.25812479445375,-0.9999949771648509
-3.78,0.02282269142509298,0.004125847209502445,0.000007724901448882417,0.003729645427951785,159.83276518129057,-0.9999948233943605
-3.77,0.02305206328722557,0.004188885997899615,0.000007961797075031416,0.003786301990167245,157.44375547970893,-0.9999946649246566
-3.76,0.02328374037489701,0.004252881425553609,0.000008205944238013452,0.0038438163717004164,155.09054862919297,-0.9999945016118801
-3.75,0.023517745856009107,0.004317847919814472,0.000008457562929006408,0.00390220149689633,152.77260585917935,-0.9999943333083259
-3.74,0.023754103131304997,0.004383799952044337,0.000008716874415837481,0.003961470329499479,150.48939656208339,-0.99999415986225
-3.73,0.023992835836709175,0.004450752514878668,0.000008984116162379573,0.00402163629984301,148.2403981683023,-0.9999939811164967
-3.72,0.024233967845691113,0.004518720941260123,0.00000925953667856935,0.0040827131428435685,146.02509602316502,-0.9999937969087995
-3.71,0.02447752327165267,0.004587720569948377,0.000009543384682449647,0.004144714598623212,143.84298326579622,-0.9999936070725439
-3.7,0.024723526470339388,0.0046577667709143565,0.000009835909842005978,0.004207654435242179,141.69356070986538,-0.9999934114366007
-3.69,0.024972002042276155,0.004728875424409025,0.0000101373786220529,0.004271546877461902,139.57633672618965,-0.9999932098238619
-3.68,0.025222974835227212,0.004801062826090846,0.000010448071767868047,0.0043364065218020895,137.49082712716174,-0.9999930020513063
-3.67,0.025476469946681016,0.0048743452836421145,0.000010768270472149258,0.00440224797554108,135.43655505297374,-0.999992787930991
-3.66,0.02573251272635994,0.004948739125518237,0.000011098256587606659,0.004469085864550591,133.41305085960792,-0.999992567269916
-3.65,0.025991128778755347,0.0050242611707109015,0.000011438329070007786,0.004536935253682064,131.41985200856666,-0.9999923398684926
-3.64,0.02625234396568796,0.0051009287349426955,0.000011788804965338207,0.0046058116522672944,129.45650295831393,-0.9999921055203024
-3.63,0.02651618440889418,0.005178759155951175,0.000012150002177270012,0.00467573058933421,127.52255505740105,-0.999991864013346
-3.62,0.026782676492638175,0.005257769784146007,0.000012522239026113879,0.004746707605252537,125.61756643925004,-0.9999916151299479
-3.61,0.027051846866350416,0.0053379784324969195,0.000012905850909407841,0.004818758654282704,123.74110191856812,-0.999991358645188
-3.6,0.02732372244729256,0.0054194034967042495,0.000013301195712078812,0.004891900212044958,121.89273288936761,-0.999991094326274
-3.59,0.027598330423249287,0.005502063409539029,0.000013708632837231123,0.004966148787320943,120.072037224566,-0.9999908219340741
-3.58,0.027875698255247015,0.005585976610578382,0.00001412852191563921,0.0050415208949838005,118.27859917714073,-0.9999905412230737
-3.57,0.028155853680300106,0.005671161966589608,0.000014561239271073371,0.005118033432094625,116.51200928281435,-0.9999902519398048
-3.56,0.028438824714184505,0.005757639015730883,0.000015007188684417829,0.005195703896301594,114.77186426424566,-0.9999899538217508
-3.55,0.028724639654239433,0.005845427354870147,0.000015466776470681924,0.005274549837762899,113.05776693670346,-0.9999896465991777
-3.54,0.029013327082197053,0.005934546583855531,0.00001594040904231489,0.005354588809304258,111.36932611519879,-0.9999893299951655
-3.53,0.02930491586704076,0.0060250166881812076,0.00001642850875380096,0.005435838708717397,109.70615652305321,-0.9999890037240675
-3.52,0.029599435167892,0.006116858413492245,0.000016931530906139693,0.005518318113659261,108.06787870187998,-0.9999886674898714
-3.51,0.02989691443692632,0.006210092594156292,0.00001744993484394604,0.005602045681125541,106.45411892295628,-0.999988320988329
-3.5,0.0301973834223185,0.006304740065429373,0.00001798417993646483,0.00568704006890745,104.86450909996437,-0.9999879639070928
-3.49,0.030500872171217483,0.006400822002163093,0.000018534740396013893,0.0057733202385167,103.29868670307968,-0.9999875959242388
-3.48,0.030807411032751076,0.006498360425028255,0.000019102129285420038,0.005860905907799234,101.75629467438534,-0.9999872167060153
-3.47,0.03111703066106086,0.006597377483903761,0.00001968686589358959,0.005949816910118836,100.23698134459167,-0.9999868259092485
-3.46,0.03142976201836771,0.006697895328761085,0.000020289469508866097,0.00604007307892243,98.74040035104055,-0.999986423181629
-3.45,0.03174563637806794,0.006799936400803648,0.000020910472873264706,0.006131694508073002,97.26621055697395,-0.9999860081603267
-3.44,0.03206468532786077,0.006903524065712313,0.0000215504537225972,0.006224702117919679,95.81407597204688,-0.999985580469077
-3.43,0.03238694077290704,0.007008681871782995,0.00002220999910539665,0.006319116992038445,94.38366567406575,-0.9999851397208053
-3.42,0.03271243493901982,0.007115433367310454,0.000022889696070059634,0.006414960214004259,92.97465373193216,-0.9999846855181297
-3.41,0.03304120037588693,0.007223802343949608,0.000023590143550392072,0.00651225308495504,91.58671912977346,-0.9999842174520844
-3.4,0.03337326996032608,0.007333813584728015,0.000024311991588364626,0.0066110177920990255,90.21954569224123,-0.9999837350985237
-3.39,0.033708676899572396,0.007445492124460933,0.000025055903825230275,0.006711276747638669,88.87282201096009,-0.9999832380208619
-3.38,0.034047454734599344,0.007558862997963621,0.00002582254390224201,0.006813052363776427,87.54624137210796,-0.9999827257708847
-3.37,0.03438963734347271,0.007673951438867904,0.000026612585731568356,0.006916367230412951,86.2395016851104,-0.9999821978875828
-3.36,0.03473525894473856,0.00779078372261928,0.000027426760107970616,0.007021244868343849,84.95230541243126,-0.9999816538928906
-3.35,0.035084354100845025,0.007909386464001801,0.000028265817235464483,0.007127709101500989,83.68435950044314,-0.9999810932943872
-3.34,0.03543695772159864,0.00802978627796904,0.000029130507331158526,0.007235783753967394,82.43537531136027,-0.9999805155865312
-3.33,0.0357931050676553,0.008152009937833873,0.000030021589256072843,0.0073454927913270684,81.20506855621713,-0.9999799202496034
-3.32,0.036152831754046426,0.008276085291274464,0.000030939884015875194,0.0074568611388447425,79.99315922887622,-0.9999793067448184
-3.31,0.0365161737537404,0.00840204063145458,0.00003188623958451453,0.007569914119609919,78.79937154104992,-0.9999786745167937
-3.3,0.036883167401240015,0.008529904252940384,0.00003286150403754778,0.007684677057962967,77.6234338583196,-0.9999780229953372
-3.29,0.03725384939621581,0.008659704572607957,0.00003386653249363826,0.007801175387502492,76.46507863713674,-0.9999773515945003
-3.28,0.03762825680717622,0.008791471095753192,0.000034902246778611616,0.007919435513720482,75.32404236279028,-0.9999766597071178
-3.27,0.038006427075174314,0.008925233897305459,0.00003596960521837574,0.008039484350607123,74.20006548832608,-0.9999759467068164
-3.26,0.038388398017552075,0.009061023057131124,0.00003706956649773084,0.008161348816555726,73.09289237440306,-0.9999752119504979
-3.25,0.03877420783172201,0.00919886874602694,0.0000382030948132506,0.008285055911162444,72.00227123007129,-0.9999744547775016
-3.24,0.039163895098987066,0.009338802218460543,0.000039371224734303954,0.008410633601294983,70.9279540544573,-0.9999736745036516
-3.23,0.039557498788398725,0.009480855439581336,0.00004057503904535203,0.008538110487959742,69.86969657934367,-0.9999728704225416
-3.22,0.039955058260653896,0.009625060386835195,0.0000418156214499902,0.008667515183126688,68.82725821262821,-0.9999720418088583
-3.21,0.04035661327203115,0.00977144913444167,0.000043094062092409025,0.008798876385129844,67.80040198264895,-0.9999711879174747
-3.2,0.04076220397836621,0.009920054846522782,0.0000444115262120449,0.008932223764696275,66.78889448336108,-0.9999703079770998
-3.19,0.04117187093906774,0.010070911336856133,0.00004576922560546863,0.009067587571974053,65.79250582035382,-0.9999694011920212
-3.18,0.04158565512117316,0.01022405242638184,0.00004716837269651407,0.00920499806348744,64.81100955769345,-0.9999684667452926
-3.17,0.04200359790344555,0.010379512417791963,0.000048610214462031905,0.009344485925427345,63.84418266557918,-0.9999675037953283
-3.16,0.042425741080511385,0.010537326735955735,0.00005009608111135523,0.00948608284452793,62.89180546879966,-0.9999665114711792
-3.15,0.04285212686704019,0.01069753096503431,0.000051627315083777766,0.009629820649502874,61.95366159597838,-0.9999654888776749
-3.14,0.043282797901965896,0.010860160840202918,0.0000532052700035331,0.009775731303714435,61.02953792959474,-0.9999644350948979
-3.13,0.04371779725275094,0.01102525325968958,0.000054831389168688985,0.009923847807120235,60.11922455676838,-0.999963349170933
-3.12,0.04415716841969286,0.011192845661475841,0.000056507158826584195,0.010074203640587347,59.222514720796596,-0.9999622301249343
-3.11,0.044600955340274535,0.011362975505771852,0.000058234066912549684,0.010226832304798277,58.33920477343204,-0.999961076949816
-3.1,0.0450492023935578,0.011535681050025332,0.000060013665250202726,0.010381768010702097,57.4690941278887,-0.9999598886063399
-3.09,0.04550195440462157,0.011711001614587631,0.00006184759350423486,0.010539045915868333,56.61198521256578,-0.999958664020274
-3.08,0.045959256649044204,0.011888976593564266,0.00006373749769347284,0.010698701243519734,55.76768342547881,-0.9999574020882542
