"N","a","t","H_A","rho_f","P_obs_f","w_f","m_eff","sigma","kF_over_m"
-6.249873823840981,0.00193069772888325,0.00010331294973344714,5850.63130990165,20759546.362292927,-4703.146257237648,-0.00022655342150348307,11028.143077212597,1881.981765143178,0.002181841952510545
-6.216979751083923,0.00199526231496888,0.0001090854371154342,5551.525352209082,18809215.029899556,-4478.765662442711,-0.00023811550111597763,11028.270006190196,1705.1331895477858,0.0021112155468113246
-6.184085678326865,0.0020619860095022202,0.00011516867929566195,5268.149190886539,17042134.61705008,-4264.877288757298,-0.00025025487619904327,11028.403355066288,1544.902948109081,0.0020428741348099346
-6.1511916055698075,0.002130941015366797,0.00012157887731562628,4999.645589877978,15441086.10548841,-4061.0230578614664,-0.00026300112764852783,11028.54344855065,1399.7294292097756,0.0019767437698851413
-6.11829753281275,0.002202201949987375,0.0001283330589094789,4745.2059781963635,13990468.495741671,-3866.7598087165916,-0.0002763852983117421,11028.690627776443,1268.1977644259782,0.0019127528981431527
-6.0854034600556925,0.0022758459260747883,0.0001354491203128158,4504.067570893283,12676146.764257986,-3681.659661659921,-0.00029043996808563545,11028.845251130884,1149.0260392368032,0.0018508322809898832
-6.052509387298635,0.002351952635070959,0.00014294587018218288,4275.51066652094,11485314.1079487,-3505.3102008370233,-0.00030519933263393166,11029.00769512793,1041.0527994931267,0.0017909149202086849
-6.019615314541577,0.002430604433384409,0.00015084307573145616,4058.8561099955296,10406367.133540608,-3337.3145086099184,-0.00032069928590674736,11029.17835532511,943.2257318856423,0.0017329359854624683
-5.986721241784519,0.0025118864315095803,0.0001591615111965457,3853.4629104761216,9428792.775309402,-3177.291080184214,-0.0003369775066543397,11029.357647286717,854.5914080937864,0.0016768327441417689
-5.953827169027461,0.0025958865861263943,0.00016792300874542173,3658.726004533467,8543065.83907508,-3024.873642136315,-0.00035407354913512,11029.54600759573,774.2859926634202,0.0016225444934828417
-5.920933096270403,0.002682695795279726,0.00017715051195628406,3474.074155501498,7740556.1739076,-2879.7108946648605,-0.00037202893822694394,11029.743894916906,701.5268240533911,0.001570012494882332
-5.888039023513345,0.0027724079967417744,0.00018686813199280563,3298.967980483264,7013444.566826148,-2741.4661941313134,-0.00039088726915994317,11029.951791113643,635.6047868007782,0.0015191799103374433
-5.855144950756287,0.002865120269663781,0.00019710120661178566,3132.8980970252055,6354646.540792383,-2609.817189701875,-0.0004106943120988202,11030.170202421345,575.8774004646898,0.001469991740942828
-5.82225087799923,0.0029609329396270835,0.00020787636214527068,2975.3833819812667,5757743.313326051,-2484.4554255791745,-0.0004314981218125873,11030.399660680116,521.7625579940536,0.0014223947673776408
-5.789356805242172,0.003059949687207196,0.00021922157860624716,2825.9693355636364,5216919.24286064,-2365.0859183519183,-0.0004533491526802031,11030.640724629822,472.73285249400163,0.0013763374923183652
-5.756462732485114,0.0031622776601683794,0.0002311662580744021,2684.226544021878,4726905.153187997,-2251.4267173381854,-0.00047630037929145705,11030.893981270636,428.3104370998818,0.0013317700847150923
-5.723568659728056,0.003268027589410126,0.00024374129652619591,2549.749234808797,4282926.983630009,-2143.208454406154,-0.0005004074229137735,11031.160047292406,388.06236786351445,0.0012886443258709574
-5.6906745869709985,0.0033773139087910097,0.0002569791592816192,2422.1539184814164,3880659.2644811864,-2040.1738885847562,-0.0005257286841073668,11031.439570576324,351.5963842636766,0.001246913557266385
-5.657780514213941,0.0034902548789595804,0.00027091396024852063,2301.0781119505314,3516182.96429393,-1942.0774497921445,-0.0005523254817833761,11031.733231772536,318.55708621783083,0.0012065326300716862
-5.624886441456883,0.0036069727153262908,0.000285581545154324,2186.17913803411,3185947.298187096,-1848.6847851831826,-0.0005802621990122505,11032.041745957562,288.6224703363688,0.0011674578562933747
-5.591992368699826,0.00372759372031494,0.0003010195789643101,2077.132996589756,2886735.124963175,-1759.772310924061,-0.0006096064359027432,11032.365864375523,261.50079166178244,0.001129646961501341
-5.559098295942768,0.003852248420036752,0.000317267637695446,1973.6333028009346,2615631.595796452,-1675.1267716219686,-0.0006404291698854087,11032.706376267455,236.92772030732272,0.0010930590390857266
