"N","a","t","H_A","rho_f","P_obs_f","w_f","m_eff","sigma","kF_over_m"
-21.085100637274046,6.96397402962432e-10,2.5146698134453086e-17,1.988332734573621e+16,3.773816651737723e+30,1.2579388227340105e+30,0.3333333171220095,12182.181219597021,1.506591375516297e+19,6412.761337000418
-21.05220656451699,7.196856730011521e-10,2.6856684373704785e-17,1.8617340277373496e+16,3.3085518114365605e+30,1.1028505465289113e+30,0.33333331601963273,12182.181219597021,1.4106654909647761e+19,6205.251137322329
-21.01931249175993,7.437527275659046e-10,2.8682950405353456e-17,1.7431959603557096e+16,2.900648362222495e+30,9.66882733771495e+29,0.3333333148422939,12182.181219597021,1.3208472834536438e+19,6004.455749050363
-20.986418419002874,7.686246100397739e-10,3.0633403304385036e-17,1.6322053051492608e+16,2.543034355149246e+30,8.476780681621264e+29,0.3333333135848956,12182.181219597021,1.2367478723534901e+19,5810.15788796288
-20.953524346245814,7.943282347242815e-10,3.2716487830180945e-17,1.5282815124251096e+16,2.2295097249718682e+30,7.431698613006092e+29,0.33333331224199364,12182.181219597021,1.1580031373722536e+19,5622.147300926694
-20.920630273488758,8.208914159638256e-10,3.4941222989276755e-17,1.4309746294691314e+16,1.9546387976867445e+30,6.51546221866249e+29,0.3333333108077739,12182.181219597021,1.084272142044951e+19,5440.220538378466
-20.887736200731702,8.48342898244072e-10,3.731724108440284e-17,1.3398633524121376e+16,1.7136560505603592e+30,5.712186422941705e+29,0.3333333092760266,12182.181219597021,1.0152356576010658e+19,5264.180734168349
-20.854842127974642,8.767123872968682e-10,3.9854829418875324e-17,1.2545532021352644e+16,1.5023834907791352e+30,5.007944583253188e+29,0.3333333076401199,12182.181219597021,9.50594780818466e+18,5093.8373925276655
-20.821948055217586,9.060305822453376e-10,4.256497483690191e-17,1.1746748163169072e+16,1.3171582202882868e+30,4.3905270395279674e+29,0.333333305892971,12182.181219597021,8.900696398796581e+18,4929.006181930085
-20.789053982460526,9.363292088239415e-10,4.5459411292646096e-17,1.099882350226378e+16,1.154768930988761e+30,3.84922943154228e+29,0.3333333040270152,12182.181219597021,8.333981826271963e+18,4769.508735623238
-20.75615990970347,9.676410537094535e-10,4.8550670654006265e-17,1.0298519793402976e+16,1.01240022928974e+30,3.3746671140930375e+29,0.3333333020341738,12182.181219597021,7.803350419718285e+18,4615.172458614914
-20.72326583694641,1e-9,5.185213696107158e-17,9.642804972985824e+15,8.875838247541468e+29,2.9586124524832734e+29,0.33333329990581834,12182.181219597021,7.306504735410042e+18,4465.830340904984
-20.690371764189354,1.0334410638805562e-9,5.537810437417397e-17,9.028840031296868e+15,7.781557365795149e+29,2.593852177458788e+29,0.333333297632734,12182.181219597021,6.841293609681411e+18,4321.3207767609465
-20.657477691432295,1.0680004325145758e-9,5.914383906243e-17,8.453966720612493e+15,6.822187759896684e+29,2.2740623265141182e+29,0.33333329520507904,12182.181219597021,6.405702845159123e+18,4181.487389841517
-20.62458361867524,1.1037155032027573e-9,6.316564530072743e-17,7.915696045941993e+15,5.981096540827617e+29,1.9936986033863626e+29,0.3333332926123427,12182.181219597021,5.99784649001025e+18,4046.1788639790375
-20.59168954591818,1.1406249238513208e-9,6.746093606133225e-17,7.411697488572242e+15,5.243701448742088e+29,1.7479002548652752e+29,0.33333328984329935,12182.181219597021,5.615958672447187e+18,3915.2487794375957
-20.558795473161123,1.1787686347935873e-9,7.204830840575195e-17,6.939788915757808e+15,4.597218035792035e+29,1.532405798401976e+29,0.3333332868859601,12182.181219597021,5.258385955136158e+18,3788.5554544696465
-20.525901400404063,1.2181879120101156e-9,7.694762400327407e-17,6.497927132869078e+15,4.0304380181783075e+29,1.343479139459616e+29,0.3333332837275207,12182.181219597021,4.923580176406593e+18,3665.9617919997063
-20.493007327647007,1.2589254117941673e-9,8.218009512479589e-17,6.084199037092574e+15,3.533534954648231e+29,1.1778447976794998e+29,0.33333328035430637,12182.181219597021,4.6100917472663506e+18,3547.3351312691925
-20.460113254889947,1.3010252169108314e-9,8.776837648426702e-17,5.696813334382184e+15,3.0978938824272745e+29,1.0326311188585672e+29,0.3333332767517123,12182.181219597021,4.316563375201305e+18,3432.547104281884
-20.42721918213289,1.3445328842997608e-9,9.373666332538427e-17,5.334092783798637e+15,2.7159619569299788e+29,9.053204881866046e+28,0.33333327290414067,12182.181219597021,4.0417241875855575e+18,3321.4734968946555
-20.394325109375835,1.3894954943731376e-9,1.0011079617821857e-16,4.99446693565804e+15,2.3811175057443275e+29,7.937056815745942e+28,0.33333326879493297,12182.181219597021,3.7843842292587863e+18,3213.9941144031677
-20.361431036618775,1.4359617019622147e-9,1.0691837273933118e-16,4.676465332048219e+15,2.0875552266377632e+29,6.958515983235943e+28,0.3333332644062978,12182.181219597021,3.5434293104471916e+18,3109.992651477063
-20.32853696386172,1.4839817889675653e-9,1.1418886735977918e-16,4.37871114027358e+15,1.8301855392269543e+29,6.100617116815248e+28,0.33333325971923405,12182.181219597021,3.31781618272139e+18,3009.3565663039226
-20.29564289110466,1.5336077187700116e-9,1.2195375865834898e-16,4.0999151916635595e+15,1.6045463453399035e+29,5.34848655630719e+28,0.3333332547134486,12182.181219597021,3.1065680221048924e+18,2911.9769588057907
-20.262748818347603,1.5848931924611134e-9,1.3024666581253633e-16,3.8388703999348575e+15,1.4067256682323373e+29,4.689084379602268e+28,0.33333324936726827,12182.181219597021,2.908770199776631e+18,2817.748452796485
-20.229854745590544,1.6378937069540641e-9,1.391034941173622e-16,3.594446534940963e+15,1.233293829430414e+29,4.110978325468763e+28,0.33333324365754613,12182.181219597021,2.7235663220562074e+18,2726.569081952173
-20.196960672833487,1.692666615037876e-9,1.4856259044224052e-16,3.3655853291811805e+15,1.0812439873285607e+29,3.604145588880385e+28,0.33333323755956135,12182.181219597021,2.550154522526414e+18,2638.340179471818
-20.164066600076428,1.7492711874398423e-9,1.5866490925896852e-16,3.151295895882091e+15,9.479400066416202e+28,3.159799052524825e+28,0.333333231046912,12182.181219597021,2.387783990239243e+18,2552.966271308099
-20.13117252731937,1.8077686769634344e-9,1.694541899596791e-16,2.9506504388133975e+15,8.310707549077786e+28,2.770234941814842e+28,0.3333332240914008,12182.181219597021,2.2357517189737705e+18,2470.354972853263
-20.098278454562312,1.868222384771037e-9,1.8097714623247652e-16,2.762780235263181e+15,7.286100336665266e+28,2.4286992621493677e+28,0.33333321666291316,12182.181219597021,2.09339946347136e+18,2390.41688896812
-20.065384381805256,1.9306977288832503e-9,1.932836683146814e-16,2.5868718747803045e+15,6.387814496260238e+28,2.129270702805877e+28,0.3333332087292867,12182.181219597021,1.9601108894697812e+18,2313.065517245985
-20.032490309048196,1.9952623149688795e-9,2.0642703899936635e-16,2.4221637373990545e+15,5.600276167803645e+28,1.866757977332359e+28,0.33333320025617186,12182.181219597021,1.8353089051969078e+18,2238.2171544069074
-19.99959623629114,2.06198600950222e-9,2.2046416433041045e-16,2.267942696098013e+15,4.909831555242727e+28,1.6366098205973143e+28,0.3333331912068835,12182.181219597021,1.7184531627703268e+18,2165.7908057208742
-19.96670216353408,2.130941015366797e-9,2.354558199848958e-16,2.1235410292159752e+15,4.3045102064247846e+28,1.4348360820886255e+28,0.33333318154224184,12182.181219597021,1.6090377186848082e+18,2095.708097361993
-19.933808090777024,2.202201949987375e-9,2.5146691440959006e-16,1.988333529456786e+15,3.7738174776476266e+28,1.257938547431265e+28,0.33333317122040285,12182.181219597021,1.506588843258391e+18,2027.893191598793
-19.900914018019968,2.2758459260747885e-9,2.68566769850798e-16,1.861734796966129e+15,3.3085525847600736e+28,1.10285028875496e+28,0.3333331601966772,12182.181219597021,1.4106629695527675e+18,1962.272704728883
-19.86801994526291,2.3519526350709586e-9,2.8682942249433576e-16,1.7431967047602522e+15,2.9006490863078355e+28,9.668824924102656e+27,0.33333314842333667,12182.181219597021,1.320844772887532e+18,1898.7756276691555
-19.835125872505852,2.430604433384409e-9,3.0633394301512165e-16,1.6322060255328528e+15,2.5430350331314482e+28,8.476778421686077e+27,0.33333313584940755,12182.181219597021,1.2367453726332754e+18,1837.3332491156107
-19.802231799748792,2.51188643150958e-9,3.271647789242429e-16,1.5282822095650432e+15,2.2295103597863545e+28,7.431696496963265e+27,0.33333312242045,12182.181219597021,1.1580006484979356e+18,1777.8790811896433
-19.769337726991736,2.5958865861263944e-9,3.494121201957325e-16,1.4309753041175472e+15,1.9546393920820381e+28,6.515460237350281e+27,0.3333331080783222,12182.181219597021,1.0842696640165295e+18,1720.3487874903415
-19.736443654234677,2.682695795279726e-9,3.7317228975608277e-16,1.3398640052968375e+15,1.7136566071099823e+28,5.712184567781706e+27,0.333333092760929,12182.181219597021,1.0152331904185407e+18,1664.6801134749348
-19.70354958147762,2.7724079967417746e-9,3.985481605271673e-16,1.2545538339604992e+15,1.502384011892752e+28,5.007942846213186e+27,0.3333330764019525,12182.181219597021,9.50592324481837e+17,1610.8128190920586
-19.67065550872056,2.8651202696637807e-9,4.256496008282111e-16,1.1746754277641388e+15,1.317158708222136e+28,4.3905254130871664e+27,0.3333330589305654,12182.181219597021,8.900671943889252e+17,1558.6886135949348
-19.637761435963505,2.9609329396270837e-9,4.545939500652288e-16,1.0998829419550175e+15,1.154769387855425e+28,3.84922790865874e+27,0.33333304027112437,12182.181219597021,8.33395747982359e+17,1508.25109246393
-19.604867363206445,3.0599496872071955e-9,4.855065267674886e-16,1.0298525519884174e+15,1.0124006570672912e+28,3.3746656881731817e+27,0.33333302034284223,12182.181219597021,7.803326181728867e+17,1459.4456763702315
-19.57197329044939,3.1622776601683795e-9,5.185211711706049e-16,9.642810514836081e+14,8.875842252947121e+27,2.9586111173533466e+27,0.3333329990594384,12182.181219597021,7.306480605879575e+17,1412.2195521145968
-19.53907921769233,3.2680275894101257e-9,5.537808246954391e-16,9.028845394490648e+14,7.78156111617295e+27,2.59385092733812e+27,0.3333329763287655,12182.181219597021,6.841269588609892e+17,1366.521615477261
-19.506185144935273,3.37731390879101e-9,5.914381488317313e-16,8.45397191093093e+14,6.822191271484462e+27,2.274061155990101e+27,0.3333329520524101,12182.181219597021,6.40567893254655e+17,1322.3024159171616
-19.473291072178213,3.4902548789595807e-9,6.316561861059924e-16,7.915701068979151e+14,5.981099828829324e+27,1.993697507391012e+27,0.33333292612526694,12182.181219597021,5.99782268585662e+17,1279.5141030606383
-19.440396999421157,3.6069727153262907e-9,6.746090659953956e-16,7.411702349741166e+14,5.243704527393628e+27,1.7478992286532889e+27,0.3333328984350838,12182.181219597021,5.615934976752494e+17,1238.1103749217023
-19.4075029266641,3.72759372031494e-9,7.204827588440028e-16,6.939793620296384e+14,4.5972209184229e+27,1.5324048375301906e+27,0.3333328688619754,12182.181219597021,5.2583623679004e+17,1198.0464277978426
-19.37460885390704,3.852248420036752e-9,7.694758810454932e-16,6.497931685845698e+14,4.0304407172692923e+27,1.3434782397677664e+27,0.33333283727790464,12182.181219597021,4.9235566976297645e+17,1159.278907787151
-19.341714781149985,3.981071705534972e-9,8.218005549785283e-16,6.084203443411622e+14,3.533537481885467e+27,1.1778439552722089e+27,0.3333328035461282,12182.181219597021,4.610068376948449e+17,1121.7658638743032
-19.308820708392926,4.114202978752842e-9,8.77683327417936e-16,5.696817598789345e+14,3.0978962487528286e+27,1.0326303300884794e+27,0.33333276752060453,12182.181219597021,4.3165401133423245e+17,1085.4667025346262
-19.27592663563587,4.25178630338289e-9,9.37366150398085e-16,5.33409691088603e+14,2.715964172589227e+27,9.053197496385946e+26,0.3333327290453616,12182.181219597021,4.041701034185494e+17,1050.3421438071316
-19.24303256287881,4.393970560760791e-9,1.0011074287752028e-15,4.994470929869186e+14,2.381119580330315e+27,7.937049900509801e+26,0.3333326879538218,12182.181219597021,3.784361184317634e+17,1016.3541787889792
-19.210138490121754,4.540909610972476e-9,1.0691831390241769e-15,4.6764691976828544e+14,2.0875571691327384e+27,6.958509508302934e+26,0.3333326440680808,12182.181219597021,3.543406373964944e+17,983.4660285053741
-19.177244417364694,4.692762459348838e-9,1.1418880241137923e-15,4.3787148814923044e+14,1.8301873580412592e+27,6.100611054150898e+26,0.3333325971981371,12182.181219597021,3.317793354698042e+17,951.6421041103916
-19.144350344607638,4.849693428528198e-9,1.2195368696337495e-15,4.0999188124923394e+14,1.604548048348386e+27,5.348480879662006e+26,0.3333325471410702,12182.181219597021,3.106545302540437e+17,920.8479683756608
-19.111456271850578,5.011872336272723e-9,1.3024658666985893e-15,3.8388739042693844e+14,1.4067272628084485e+27,4.689079064398079e+26,0.33333249368016143,12182.181219597021,2.908747588671061e+17,891.0502984252339
-19.078562199093522,5.179474679231211e-9,1.3910340675293662e-15,3.594449926550868e+14,1.2332953224781309e+27,4.1109733486923136e+26,0.3333324365839562,12182.181219597021,2.723543819409516e+17,862.2168496763164
-19.045668126336462,5.352681822847105e-9,1.4856249400151615e-15,3.365588611714112e+14,1.0812453853122788e+27,3.6041409289836886e+26,0.33333237560526213,12182.181219597021,2.5501321283385933e+17,834.3164209468363
-19.012774053579406,5.5316811976172265e-9,1.5866480279850755e-15,3.151299072867665e+14,9.479413156141418e+26,3.159794689331875e+26,0.3333323104800788,12182.181219597021,2.3877617045102845e+17,807.3188206920967
-18.979879980822346,5.716666501913616e-9,1.694540724379014e-15,2.950653513667014e+14,8.310719805365192e+26,2.7702308564342525e+26,0.33333224092645514,12182.181219597021,2.2357295417036646e+17,781.1948343339737
-18.94698590806529,5.9078379115879446e-9,1.8097701649943953e-15,2.7627832112897222e+14,7.286111812580531e+26,2.428695436892583e+26,0.3333321666432688,12182.181219597021,2.093377394660098e+17,755.9161926473083
-18.914091835308234,6.105402296585328e-9,1.9328352510079423e-15,2.5868747551777088e+14,6.387825241490297e+26,2.1292671211105855e+26,0.33333208730892294,12182.181219597021,1.960088929117352e+17,731.4555411692796
-18.881197762551174,6.309573444801932e-9,2.0642688090292685e-15,2.4221665252617797e+14,5.600286228871827e+26,1.8667546236907846e+26,0.333332002579954,12182.181219597021,1.8352870533033008e+17,707.7864105986603
-18.84830368979412,6.5205722934286144e-9,2.204639898038419e-15,2.2679453944203828e+14,4.909840975710183e+26,1.636606680489073e+26,0.3333319120895451,12182.181219597021,1.71843141933553e+17,684.8831881529196
-18.81540961703706,6.738627168030945e-9,2.354556273195477e-15,2.1235436408954197e+14,4.304519027079092e+26,1.4348331419178582e+26,0.33333181544593843,12182.181219597021,1.6090160837088093e+17,662.721089852181
-18.782515544280002,6.963974029624319e-9,2.5146670171895277e-15,1.9883360572969784e+14,3.773825736679386e+26,1.2579357944677713e+26,0.33333171223073943,12182.181219597021,1.506567316741176e+17,641.2761337000419
-18.749621471522943,7.19685673001152e-9,2.6856653505196516e-15,1.8617372436800175e+14,3.308560317928261e+26,1.1028477110790815e+26,0.333331601997106,12182.181219597021,1.4106415514943226e+17,620.5251137322329
-18.716727398765887,7.437527275659046e-9,2.868291632875313e-15,1.7431990729729975e+14,2.900656327094623e+26,9.66880078861278e+25,0.33333148426781456,12182.181219597021,1.320823463287842e+17,600.4455749050363
-18.683833326008827,7.686246100397739e-9,3.063336568610889e-15,1.6322083177846678e+14,2.5430418128871724e+26,8.476755822963989e+25,0.33333135853319446,12182.181219597021,1.2367241714923235e+17,581.0157887962879
-18.65093925325177,7.943282347242815e-9,3.2716446301927203e-15,1.5282844283139425e+14,2.2295167078652513e+26,7.431675337161513e+25,0.33333122424892236,12182.181219597021,1.1579795558157046e+17,562.2147300926694
-18.61804518049471,8.208914159638256e-9,3.4941177144407908e-15,1.430977451742006e+14,1.9546453359693355e+26,6.5154404248514376e+25,0.33333108083366647,12182.181219597021,1.084248679793001e+17,544.0220538378466
-18.585151107737655,8.483428982440721e-9,3.731719047395038e-15,1.3398660840983661e+14,1.7136621725409027e+26,5.712166016801698e+25,0.3333309276665705,12182.181219597021,1.0152123146536946e+17,526.4180734168349
-18.552257034980595,8.767123872968682e-9,3.985477354712732e-15,1.2545558461661334e+14,1.5023892229639354e+26,5.007925476429879e+25,0.3333307640845673,12182.181219597021,9.50571557175652e+16,509.3837392527666
