x4,phi,phidot,KE,PE,rho,P,w,w_avg,rho_drift
2.620000000000000e1,-9.709144912604910e-1,2.359702734418099e-1,2.784098497410127e-2,2.221590150281129e-1,2.500000000022141e-1,-1.943180300540116e-1,-7.772721202091625e-1,3.216876912031478e-1,8.856471112039799e-12
2.625000000000000e1,-9.579863840503455e-1,2.808532756077780e-1,3.943928120980924e-2,2.105607187923945e-1,2.500000000022037e-1,-1.711214375825852e-1,-6.844857503243073e-1,3.196828023908241e-1,8.814948770918818e-12
2.630000000000000e1,-9.428613498672505e-1,3.238064084236718e-1,5.242529506811886e-2,1.975747049340739e-1,2.500000000021927e-1,-1.451494098659550e-1,-5.805976394587278e-1,3.178724896583482e-1,8.770983939143662e-12
2.635000000000000e1,-9.256416907922390e-1,3.646040810012267e-1,6.646806794137453e-2,1.835319320608063e-1,2.500000000021808e-1,-1.170638641194318e-1,-4.682554564736424e-1,3.162741992643738e-1,8.723244349084780e-12
2.640000000000000e1,-9.064399553363220e-1,4.030623823453432e-1,8.122964203095182e-2,1.687703579712176e-1,2.500000000021694e-1,-8.754071594026575e-2,-3.501628637580245e-1,3.149001777503962e-1,8.677503160470224e-12
2.645000000000000e1,-8.853768125532813e-1,4.390405307267736e-1,9.637829381042352e-2,1.536217061917385e-1,2.500000000021620e-1,-5.724341238131501e-2,-2.289736495232798e-1,3.137575153035322e-1,8.648193272620119e-12
2.650000000000000e1,-8.625788870414129e-1,4.724410025062944e-1,1.116002504245763e-1,1.383997495775842e-1,2.500000000021605e-1,-2.679949915300796e-2,-1.071979966111054e-1,3.128483769292478e-1,8.641976023682219e-12
2.655000000000000e1,-8.381766183493028e-1,5.032084494625335e-1,1.266093718052436e-1,1.233906281969212e-1,2.500000000021648e-1,3.218743608322319e-3,1.287497443317779e-2,3.121703922060496e-1,8.659295502866371e-12
2.660000000000000e1,-8.123022016749306e-1,5.313275583400434e-1,1.411544871257961e-1,1.088455128763997e-1,2.500000000021959e-1,3.230897424939640e-2,1.292358969964505e-1,3.117171686036225e-1,8.783418437019463e-12
2.665000000000000e1,-7.850876582373647e-1,5.568200368936138e-1,1.550242767431027e-1,9.497572325925346e-2,2.500000000023562e-1,6.004855348384927e-2,2.401942139331333e-1,3.114788907178086e-1,9.424905300647879e-12
2.670000000000000e1,-7.566630740215471e-1,5.797409269668959e-1,1.680497712002179e-1,8.195022880238775e-2,2.500000000026056e-1,8.609954239783013e-2,3.443981695877310e-1,3.114429680605850e-1,1.042255171057604e-11
2.675000000000000e1,-7.271550354443910e-1,6.001744480983107e-1,1.801046840750559e-1,6.989531592807356e-2,2.500000000031294e-1,1.102093681469823e-1,4.408374725824110e-1,3.115946967578271e-1,1.251776460264864e-11
