family,key,value,m_today_eV,m0_over_m_today,omega_qp0,U_today,a_nr,m_ratio_min_matter,w0_DE,wa_DE,fit_from_a,poles,crossings,phantom_late,crosses_late,w0_f,wa_f,w_f_min,cs2_min,vac_ratio_late,gap_residual_max,xcheck_worst,conservation,criterion
"power, nu",nu,0.6,1000,-2.881121,0.265,0.68566471,0.71938167,5.8451435e-14,-0.008864118,-14.169955,0.65988933,3.13e-08 0.628,4.16e-08 1,True,True,-0.83124737,-0.3147651,-0.99999995,-8.3209334,2.9057965e+20,8.2404151e-17,2.0316632e-09,9.9057593e-08,-1.1135137
"power, nu",nu,0.65,1000,-3.8051974,0.265,0.68566471,0.73953716,5.4054493e-14,-0.68380226,-7.6846378,0.66301402,3.13e-08 0.631,4.16e-08,True,False,-0.84407074,-0.29269002,-0.99999995,-22.417507,2.9417134e+20,7.2391445e-17,2.1571536e-09,7.5232983e-08,-1.4706566
"quadratic, gq",gq,-0.95,1000,1.95,0.265,0.68566471,0.7254097,5.6966164e-14,-0.090432413,-12.94175,0.6559987,3.13e-08 0.625,4.16e-08,True,False,-0.81447177,-0.34475811,-0.99999995,-9.7724558,2.8620552e+20,1.5984984e-16,9.9231556e-10,4.8690847e-08,nan
"quadratic, gq",gq,-0.85,1000,1.85,0.265,0.68566471,0.71283392,6.0403036e-14,-0.15849976,-11.976595,0.65249385,3.13e-08 0.621,4.16e-08,True,False,-0.8025812,-0.36517126,-0.99999995,-8.4683978,2.8235492e+20,1.2899674e-16,3.2236442e-09,1.5498249e-08,nan
"quadratic, gq",gq,-0.75,1000,1.75,0.265,0.68566471,0.69756651,6.4756408e-14,-0.23073381,-10.929045,0.64808124,3.13e-08 0.617,4.16e-08,True,False,-0.78840855,-0.38895514,-0.99999994,-53.946331,2.7191023e+20,1.0921368e-16,2.0674349e-09,1.0229869e-08,nan
"quadratic, gq",gq,-0.65,1000,1.65,0.265,0.68566471,0.67580372,7.0449279e-14,-0.30645869,-9.7504812,0.64330161,3.13e-08 0.613,4.16e-08,True,False,-0.767209,-0.423173,-0.99999994,-9.2525211,2.6619744e+20,1.6009594e-16,1.1066604e-09,1.5836172e-09,nan
"quadratic, gq",gq,-0.55,1000,1.55,0.265,0.68566471,0.65600709,7.8212285e-14,-0.38848729,-8.5163023,0.63700544,3.13e-08 0.607,4.16e-08,True,False,-0.74650626,-0.45662625,-0.99999993,-6666.3268,2.5877835e+20,1.2554906e-16,4.4689519e-10,1.7429279e-08,nan
"quadratic, gq",gq,-0.45,1000,1.45,0.265,0.68566471,0.62455285,8.9425516e-14,-0.49803655,-6.9034717,0.6280196,3.13e-08 0.598,4.16e-08,True,False,-0.71362112,-0.50542218,-0.99999992,-6.9789716,2.4314125e+20,1.2290773e-16,1.2397118e-09,9.2053237e-08,nan
"quadratic, gq",gq,-0.35,1000,1.35,0.265,0.68566471,0.58783831,1.0704631e-13,0.034130601,-10.764544,0.61415441,3.13e-08 0.585,4.16e-08,True,False,-0.67343624,-0.56063256,-0.9999999,-8.8958355,2.2362632e+20,1.0522445e-16,2.8309266e-10,1.0280164e-08,nan
"quadratic, gq",gq,-0.25,1000,1.25,0.265,0.68566471,0.54037078,1.3876373e-13,-0.49520095,-5.5826357,0.59260492,3.13e-08 0.564,4.16e-08,True,False,-0.61923407,-0.62385264,-0.99999988,-9.0299552,1.9792089e+20,1.2043102e-16,4.458941e-10,4.6893192e-08,nan
