potential,A,n,w_classical,w_quantum,sigma_over_n,x_kF_over_m,n_roots,rho_over_A
lambda-mass,10000,0.1034438235,-0.9575489194,-0.9575489175,0.9999999721,0.0003049537206,1,0.7310331479
lambda-mass,10000,0.1228353174,-0.9499890542,-0.9499890516,0.9999999687,0.0003229288398,1,0.7368505964
lambda-mass,10000,0.1458619246,-0.9411656165,-0.9411656132,0.9999999649,0.0003419634801,1,0.7437585789
lambda-mass,10000,0.1732050808,-0.9308986929,-0.9308986885,0.9999999607,0.0003621200936,1,0.7519615263
lambda-mass,10000,0.2056739624,-0.9189943398,-0.9189943341,0.9999999559,0.0003834648138,1,0.7617021914
lambda-mass,10000,0.2442294337,-0.9052479199,-0.9052479125,0.9999999505,0.000406067672,1,0.7732688337
lambda-mass,10000,0.290012482,-0.8894493893,-0.8894493798,0.9999999445,0.0004300028278,1,0.7870037494
lambda-mass,10000,0.3443779827,-0.8713909223,-0.87139091,0.9999999378,0.0004553488116,1,0.8033134012
lambda-mass,10000,0.4089347953,-0.8508771659,-0.8508771501,0.9999999302,0.000482188783,1,0.8226804472
lambda-mass,10000,0.4855933748,-0.827738205,-0.8277381848,0.9999999218,0.0005106108032,1,0.8456780238
lambda-mass,10000,0.5766223084,-0.8018449834,-0.8018449579,0.9999999123,0.0005407081243,1,0.8729867077
lambda-mass,10000,0.6847154509,-0.773126447,-0.7731264149,0.9999999016,0.0005725794946,1,0.9054146555
lambda-mass,10000,0.8130716446,-0.7415870969,-0.7415870568,0.9999998897,0.0006063294833,1,0.9439215203
lambda-mass,10000,0.9654893846,-0.7073230461,-0.7073229963,0.9999998763,0.0006420688234,1,0.9896468512
lambda-mass,10000,1.146479228,-0.6705342003,-0.6705341392,0.9999998613,0.0006799147745,1,1.043943816
lambda-mass,10000,1.361397279,-0.6315300297,-0.6315299553,0.9999998445,0.0007199915083,1,1.108419247
lambda-mass,10000,1.61660369,-0.5907267177,-0.590726628,0.9999998256,0.0007624305155,1,1.184981192
lambda-mass,10000,1.919650885,-0.5486343738,-0.5486342665,0.9999998044,0.0008073710374,1,1.275895378
