x,w_KS
1.0000000000e+03,3.333326666720673e-01
1.1220184543e+03,3.333328037846328e-01
1.2589254118e+03,3.333329126973147e-01
1.4125375446e+03,3.333329992099254e-01
1.5848931925e+03,3.333330679294575e-01
1.7782794100e+03,3.333331225154011e-01
1.9952623150e+03,3.333331658746077e-01
2.2387211386e+03,3.333332003160820e-01
2.5118864315e+03,3.333332276739382e-01
2.8183829313e+03,3.333332494050691e-01
3.1622776602e+03,3.333332666667283e-01
3.5481338923e+03,3.333332803781571e-01
3.9810717055e+03,3.333332912695355e-01
4.4668359215e+03,3.333332999208672e-01
5.0118723363e+03,3.333333067928656e-01
5.6234132519e+03,3.333333122514888e-01
6.3095734448e+03,3.333333165874280e-01
7.0794578438e+03,3.333333200315872e-01
7.9432823472e+03,3.333333227673804e-01
8.9125093813e+03,3.333333249404984e-01
1.0000000000e+04,3.333333266666673e-01
1.1220184543e+04,3.333333280378122e-01
1.2589254118e+04,3.333333291269513e-01
1.4125375446e+04,3.333333299920854e-01
1.5848931925e+04,3.333333306792857e-01
1.7782794100e+04,3.333333312251482e-01
1.9952623150e+04,3.333333316587424e-01
2.2387211386e+04,3.333333320031585e-01
2.5118864315e+04,3.333333322767379e-01
2.8183829313e+04,3.333333324940497e-01
3.1622776602e+04,3.333333326666667e-01
3.5481338923e+04,3.333333328037812e-01
3.9810717055e+04,3.333333329126951e-01
4.4668359215e+04,3.333333329992085e-01
5.0118723363e+04,3.333333330679285e-01
5.6234132519e+04,3.333333331225148e-01
6.3095734448e+04,3.333333331658743e-01
7.0794578438e+04,3.333333332003159e-01
7.9432823472e+04,3.333333332276738e-01
8.9125093813e+04,3.333333332494050e-01
1.0000000000e+05,3.333333332666666e-01
1.1220184543e+05,3.333333332803781e-01
1.2589254118e+05,3.333333332912695e-01
1.4125375446e+05,3.333333332999208e-01
1.5848931925e+05,3.333333333067929e-01
1.7782794100e+05,3.333333333122515e-01
1.9952623150e+05,3.333333333165874e-01
2.2387211386e+05,3.333333333200315e-01
2.5118864315e+05,3.333333333227674e-01
2.8183829313e+05,3.333333333249405e-01
3.1622776602e+05,3.333333333266667e-01
3.5481338923e+05,3.333333333280378e-01
3.9810717055e+05,3.333333333291269e-01
4.4668359215e+05,3.333333333299921e-01
5.0118723363e+05,3.333333333306793e-01
5.6234132519e+05,3.333333333312252e-01
6.3095734448e+05,3.333333333316588e-01
7.0794578438e+05,3.333333333320032e-01
7.9432823472e+05,3.333333333322767e-01
8.9125093813e+05,3.333333333324940e-01
1.0000000000e+06,3.333333333326667e-01
