a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,w_cpl,Omega_phi_test,Omega_DE_cpl
7.136126955638608e-2,1.301320360773361e1,-2.640000000000000e0,2.307277119733389e-2,1.780643708646513e-3,1.539635767781630e-1,2.879005256803051e1,1.185239148716265e-2,9.964450464456082e0,9.976302855943244e0,-9.952598072968920e0,-9.976238910028475e-1,-1.418183238266168e0,4.012023372035765e-3,1.166392059517138e-4
7.207846223876610e-2,1.287376990212990e1,-2.630000000000000e0,2.342273450619641e-2,1.834931350171189e-3,1.562839561246710e-1,2.836094499398188e1,1.221233747098905e-2,9.963368630157769e0,9.975580967628758e0,-9.951156292686779e0,-9.975515536367016e-1,-1.417752922656740e0,4.134048316616614e-3,1.217120890430354e-4
7.280286282743559e-2,1.273572358507793e1,-2.620000000000000e0,2.377799278614086e-2,1.890870849918088e-3,1.586389431749655e-1,2.793824159002710e1,1.258315714583497e-2,9.962254000796811e0,9.974837157942646e0,-9.949670843650976e0,-9.974770200361986e-1,-1.417318282303539e0,4.259772668589557e-3,1.270038778791180e-4
7.353454376305707e-2,1.259905085183093e1,-2.610000000000000e0,2.413862604093951e-2,1.948512319191823e-3,1.610290388818591e-1,2.752184672853471e1,1.296517568160764e-2,9.961105589078453e0,9.974070764760061e0,-9.948140413396846e0,-9.974002238429237e-1,-1.416879273742166e0,4.389307899498411e-3,1.325239251772564e-4
7.427357821433390e-2,1.246373803500169e1,-2.600000000000000e0,2.450471548049704e-2,2.007907381256202e-3,1.634547507478112e-1,2.711166621525327e1,1.335872777101454e-2,9.959922378387331e0,9.973281106158346e0,-9.946563650616316e0,-9.973210967125420e-1,-1.416435853071400e0,4.522768798112037e-3,1.382819781351905e-4
7.502004008532698e-2,1.232977160319577e1,-2.590000000000000e0,2.487634353889287e-2,2.069109216446907e-3,1.659165928769680e-1,2.670760726780193e1,1.376415789595077e-2,9.958703321941515e0,9.972467479837466e0,-9.944939164045564e0,-9.972395682565465e-1,-1.415987975948804e0,4.660273566525978e-3,1.442881947872118e-4
7.577400402284548e-2,1.219713815965836e1,-2.580000000000000e0,2.525359389268514e-2,2.132172608592933e-3,1.684150860258644e-1,2.630957849448681e1,1.418182060054965e-2,9.957447341923826e0,9.971629162524376e0,-9.943265521323276e0,-9.971555659823675e-1,-1.415535597586293e0,4.801943918881489e-3,1.505531610226103e-4
7.653554542391149e-2,1.206582444093456e1,-2.570000000000000e0,2.563655147931085e-2,2.197153991918506e-3,1.709507576536391e-1,2.591748987343871e1,1.461208077117663e-2,9.956153328607083e0,9.970765409378259e0,-9.941541247835907e0,-9.970690152317830e-1,-1.415078672745653e0,4.947905182770856e-3,1.570879082923690e-4
7.730474044329978e-2,1.193581731554307e1,-2.560000000000000e0,2.602530251615561e-2,2.264111501340188e-3,1.735241419686229e-1,2.553125273206681e1,1.505531392297339e-2,9.954820139415496e0,9.969875453338469e0,-9.939764825492523e0,-9.969798391176629e-1,-1.414617155734020e0,5.098286403362413e-3,1.639039320309842e-4
7.808166600115317e-2,1.180710378266303e1,-2.550000000000000e0,2.641993451958211e-2,2.333105022645182e-3,1.761357799746841e-1,2.515077972682401e1,1.551190649364517e-2,9.953446597992382e0,9.968958504486027e0,-9.937934691498738e0,-9.968879584589174e-1,-1.414151000399308e0,5.253220450340090e-3,1.710132108212721e-4
