x4,phi,phidot,KE,PE,rho,P,w,w_avg,rho_drift
7.459999999999999e1,6.979798593700266e-1,7.161173897301809e-1,2.564120579369839e-1,2.435879420431011e-1,4.999999999800849e-1,1.282411589388285e-2,2.564823178878728e-2,6.694623544485992e-3,-3.983013918684719e-11
7.465000000000001e1,7.328985185347241e-1,6.803379759263145e-1,2.314298807437573e-1,2.685701192351966e-1,4.999999999789539e-1,-3.714023849143938e-2,-7.428047698600539e-2,6.673852783506018e-3,-4.209221859952095e-11
7.470000000000000e1,7.659853130877537e-1,6.428580714931804e-1,2.066332500419655e-1,2.933667499330720e-1,4.999999999750376e-1,-8.673349989110651e-2,-1.734669997908733e-1,6.586471531048228e-3,-4.992484203825143e-11
7.475000000000000e1,7.971575432760182e-1,6.037713566767824e-1,1.822699255716612e-1,3.177300744009284e-1,4.999999999725896e-1,-1.354601488292672e-1,-2.709202976733864e-1,6.433441350270191e-3,-5.482081455454590e-11
7.480000000000000e1,8.263372947574276e-1,5.631755279071522e-1,1.585833376167498e-1,3.414166623535119e-1,4.999999999702617e-1,-1.828333247367621e-1,-3.656666494952728e-1,6.216377904458305e-3,-5.947664583061396e-11
7.484999999999999e1,8.534516333487031e-1,5.211720536120777e-1,1.358101547331152e-1,3.641898452327846e-1,4.999999999658998e-1,-2.283796904996694e-1,-4.567593810304899e-1,5.937533954446738e-3,-6.820033426890859e-11
7.490000000000001e1,8.784327873273640e-1,4.778659206072328e-1,1.141779190388991e-1,3.858220809258609e-1,4.999999999647600e-1,-2.716441618869618e-1,-5.432883238122147e-1,5.599776019616354e-3,-7.048006622767389e-11
7.495000000000000e1,9.012183168146031e-1,4.333653716665387e-1,9.390277267983860e-2,4.060972272810731e-1,4.999999999609117e-1,-3.121944546012345e-1,-6.243889092512817e-1,5.206554943864966e-3,-7.817657632358532e-11
7.500000000000000e1,9.217512698559648e-1,3.877816349901305e-1,7.518729821780941e-2,4.248127017405418e-1,4.999999999583512e-1,-3.496254035227324e-1,-6.992508071037107e-1,4.761870668450751e-3,-8.329759104697132e-11
7.505000000000000e1,9.399803247614423e-1,3.412286461796544e-1,5.821849448679987e-2,4.417815054693133e-1,4.999999999561132e-1,-3.835630109825134e-1,-7.671260220323602e-1,4.270231571024739e-3,-8.777367721535256e-11
7.509999999999999e1,9.558599183854191e-1,2.938227634606662e-1,4.316590816383131e-2,4.568340917878900e-1,4.999999999517213e-1,-4.136681836240587e-1,-8.273363673280028e-1,3.736608783906790e-3,-9.655742871927941e-11
7.515000000000001e1,9.693503600181191e-1,2.456824768555341e-1,3.017993971693503e-2,4.698200602336286e-1,4.999999999505637e-1,-4.396401205166935e-1,-8.792802411203239e-1,3.166385954227305e-3,-9.887268781483272e-11
7.520000000000000e1,9.804179305762484e-1,1.969281120057754e-1,1.939034064907961e-2,4.806096592977067e-1,4.999999999467863e-1,-4.612193186486271e-1,-9.224386373954269e-1,2.565304953421420e-3,-1.064273114081971e-10
