state,z,sigma,m,n
ground state,1.44991171415e-10,1.68406689332e-11,1,0.00692991345108
ground state,1.60077622079e-10,1.95025641922e-11,1,0.00728152497599
ground state,1.76733830347e-10,2.2584817112e-11,1,0.0076509766464
ground state,1.95123130787e-10,2.61537460756e-11,1,0.00803917363969
ground state,2.15425853065e-10,3.02861115855e-11,1,0.00844706706031
ground state,2.378410903e-10,3.50707729927e-11,1,0.00887565627005
ground state,2.62588651408e-10,4.06105874847e-11,1,0.00932599133658
ground state,2.89911216609e-10,4.70246165747e-11,1,0.00979917560611
ground state,3.20076717196e-10,5.44506646893e-11,0.999999999999,0.0102963684067
ground state,3.53380962936e-10,6.30482371399e-11,0.999999999999,0.0108187878887
ground state,3.90150542842e-10,7.30019473391e-11,0.999999999999,0.0113677140091
ground state,4.30746027787e-10,8.45254669492e-11,0.999999999999,0.0119444916678
ground state,4.75565506337e-10,9.78660867446e-11,0.999999999999,0.0125505340024
ground state,5.25048488502e-10,1.13310019118e-10,0.999999999999,0.0131873258508
ground state,5.79680215668e-10,1.31188484099e-10,0.999999999999,0.0138564273888
ground state,6.39996418989e-10,1.51884801727e-10,0.999999999998,0.0145594779526
ground state,7.06588572886e-10,1.75842567772e-10,0.999999999998,0.0152982000558
ground state,7.80109695179e-10,2.03575128596e-10,0.999999999998,0.0160744036089
ground state,8.61280750729e-10,2.35676498664e-10,0.999999999998,0.0168899903543
ground state,9.50897721386e-10,2.72834070064e-10,0.999999999997,0.0177469585252
ground state,1.04983941156e-09,3.15843233122e-10,0.999999999997,0.0186474077419
ground state,1.159076066e-09,3.65624321523e-10,0.999999999996,0.0195935441554
ground state,1.2796788842e-09,4.23242224916e-10,0.999999999996,0.0205876858532
ground state,1.41283052484e-09,4.89929046084e-10,0.999999999995,0.0216322685382
ground state,1.55983670323e-09,5.67110316447e-10,0.999999999994,0.0227298514966
ground state,1.72213899542e-09,6.56435333479e-10,0.999999999993,0.0238831238682
ground state,1.90132897464e-09,7.59812191978e-10,0.999999999992,0.0250949112352
ground state,2.0991638186e-09,8.79448371611e-10,0.999999999991,0.0263681825445
ground state,2.31758354083e-09,1.01789759198e-09,0.99999999999,0.0277060573823
ground state,2.55873001484e-09,1.17811407925e-09,0.999999999988,0.029111813617
ground state,2.82496797786e-09,1.36351519103e-09,0.999999999986,0.0305888954302
ground state,3.11890821995e-09,1.57805399202e-09,0.999999999984,0.0321409217551
ground state,3.44343318604e-09,1.82630301584e-09,0.999999999982,0.0337716951432
ground state,3.80172524184e-09,2.1135511991e-09,0.999999999979,0.0354852110806
ground state,4.19729788078e-09,2.44591589562e-09,0.999999999976,0.0372856677774
ground state,4.63403017824e-09,2.83047245827e-09,0.999999999972,0.0391774764533
ground state,5.11620483053e-09,3.27540389309e-09,0.999999999967,0.0411652721453
ground state,5.64855015206e-09,3.79017401149e-09,0.999999999962,0.0432539250642
ground state,6.23628644223e-09,4.38572750208e-09,0.999999999956,0.0454485525263
ground state,6.8851771769e-09,5.07472117988e-09,0.999999999949,0.0477545314915
ground state,7.60158552633e-09,5.87179134505e-09,0.999999999941,0.0501775117369
ground state,8.39253675389e-09,6.793862693e-09,0.999999999932,0.0527234296995
ground state,9.26578710736e-09,7.86050542716e-09,0.999999999921,0.0553985230201
ground state,1.02298998785e-08,9.0943479051e-09,0.999999999909,0.0582093458264
ground state,1.12943293766e-08,1.05215535496e-08,0.999999999895,0.0611627847906
ground state,1.24695136397e-08,1.21723718898e-08,0.999999999878,0.0642660760024
ground state,1.37669767921e-08,1.408177538e-08,0.999999999859,0.0675268226974
ground state,1.51994420529e-08,1.62901951867e-08,0.999999999837,0.070953013886
ground state,1.67809565025e-08,1.88443713017e-08,0.999999999812,0.0745530439262
ground state,1.85270288316e-08,2.17983347744e-08,0.999999999782,0.0783357330905
ground state,2.0454781423e-08,2.52145423935e-08,0.999999999748,0.0823103491763
ground state,2.25831182575e-08,2.91651876477e-08,0.999999999708,0.0864866302117
