lam,z,sigma,m,n
-0.01,0.295937737282,-0.000699122855668,1.00000699123,0.0547419256872
-0.01,0.310933940774,-0.000681962508347,1.00000681963,0.0532388867897
-0.01,0.325930144267,-0.000664612168075,1.00000664612,0.0517559230083
-0.01,0.34092634776,-0.000647210395794,1.0000064721,0.0502972028774
-0.01,0.355922551253,-0.000629866505602,1.00000629867,0.0488658419059
-0.01,0.370918754746,-0.000612666169923,1.00000612666,0.0474641182824
-0.01,0.385914958238,-0.000595675969958,1.00000595676,0.0460936444667
-0.01,0.400911161731,-0.000578947087815,1.00000578947,0.0447555040485
-0.01,0.415907365224,-0.000562518300681,1.00000562518,0.0434503611311
-0.01,0.430903568717,-0.000546418407896,1.00000546418,0.0421785478964
-0.01,0.44589977221,-0.000530668197472,1.00000530668,0.0409401347883
-0.01,0.460895975702,-0.000515282038754,1.00000515282,0.0397349868105
-0.01,0.475892179195,-0.000500269171749,1.00000500269,0.038562808708
-0.01,0.490888382688,-0.000485634750365,1.00000485635,0.0374231812328
-0.01,0.505884586181,-0.000471380686121,1.00000471381,0.0363155902481
-0.01,0.520880789674,-0.000457506330057,1.00000457506,0.0352394500734
-0.01,0.535876993166,-0.000444009023516,1.00000444009,0.0341941221938
-0.01,0.550873196659,-0.00043088454265,1.00000430885,0.0331789302341
-0.01,0.565869400152,-0.000418127456826,1.00000418127,0.0321931719243
-0.01,0.580865603645,-0.000405731417279,1.00000405731,0.0312361286375
-0.01,0.595861807137,-0.000393689389284,1.00000393689,0.0303070729712
-0.01,0.61085801063,-0.000381993838591,1.00000381994,0.0294052747506
-0.01,0.625854214123,-0.000370636880843,1.00000370637,0.0285300057595
-0.01,0.640850417616,-0.000359610401033,1.0000035961,0.0276805434458
-0.01,0.655846621109,-0.000348906148745,1.00000348906,0.0268561738001
-0.01,0.670842824601,-0.000338515813789,1.00000338516,0.0260561935699
-0.01,0.685839028094,-0.000328431086014,1.00000328431,0.0252799119383
-0.01,0.700835231587,-0.00031864370233,1.00000318644,0.0245266517724
-0.01,0.71583143508,-0.000309145483419,1.00000309145,0.0237957505284
-0.01,0.730827638573,-0.00029992836211,1.00000299928,0.0230865608788
-0.01,0.745823842065,-0.000290984405065,1.00000290984,0.0223984511202
-0.01,0.760820045558,-0.000282305829069,1.00000282306,0.0217308054053
-0.01,0.775816249051,-0.000273885012979,1.00000273885,0.0210830238356
-0.01,0.790812452544,-0.000265714506215,1.00000265715,0.0204545224438
-0.01,0.805808656036,-0.000257787034455,1.00000257787,0.01984473309
-0.01,0.820804859529,-0.000250095503128,1.00000250096,0.0192531032908
-0.01,0.835801063022,-0.000242632999137,1.00000242633,0.0186790959959
-0.01,0.850797266515,-0.000235392791182,1.00000235393,0.0181221893256
-0.01,0.865793470008,-0.000228368328994,1.00000228368,0.0175818762783
-0.01,0.8807896735,-0.000221553241701,1.00000221553,0.0170576644168
-0.01,0.895785876993,-0.000214941335535,1.00000214941,0.016549075539
-0.01,0.910782080486,-0.000208526591015,1.00000208527,0.0160556453385
-0.01,0.925778283979,-0.00020230315976,1.00000202303,0.0155769230593
-0.01,0.940774487472,-0.000196265361005,1.00000196265,0.015112471148
-0.01,0.955770690964,-0.000190407677917,1.00000190408,0.0146618649046
-0.01,0.970766894457,-0.000184724753771,1.00000184725,0.014224692137
-0.01,0.98576309795,-0.000179211388034,1.00000179211,0.013800552817
-0.01,1.00075930144,-0.000173862532409,1.00000173863,0.013389058742
-0.01,1.01575550494,-0.000168673286854,1.00000168673,0.0129898332019
-0.01,1.03075170843,-0.000163638895623,1.00000163639,0.012602510652
-0.01,1.04574791192,-0.000158754743328,1.00000158755,0.0122267363935
-0.01,1.06074411541,-0.000154016351052,1.00000154016,0.0118621662596
-0.01,1.07574031891,-0.000149419372526,1.00000149419,0.0115084663106
-0.01,1.0907365224,-0.00014495959036,1.0000014496,0.0111653125355
-0.01,1.10573272589,-0.000140632912363,1.00000140633,0.0108323905614
-0.01,1.12072892938,-0.000136435367937,1.00000136435,0.0105093953706
-0.01,1.13572513288,-0.000132363104546,1.00000132363,0.0101960310252
