x4,phi_mid,KE_mid,PE_mid,G0_mid,rho_mid,P_mid,w_mid,E_sheet,P_sheet,w_sheet,KE_frac,PE_frac,G0_frac,E_drift
6.900000000000000e0,8.191281435491923e-1,1.292479265851129e-1,3.354854577771731e-1,6.175423613051032e-1,1.082275745667389e0,-8.237798924971633e-1,-7.611552747023601e-1,2.055257744767656e-1,-9.026590924815689e-2,-4.391950813855773e-1,2.804024593072114e-1,4.761610170119814e-1,2.434365236808073e-1,-1.900779533769992e-10
7.000000000000000e0,7.643229687978954e-1,1.015994637764068e0,2.920948003160143e-1,1.391033098337417e-2,1.321999769063456e0,7.099895064646796e-1,5.370572091458512e-1,2.055257744733239e-1,-2.011932473338432e-2,-9.789197868219542e-2,4.510540106589023e-1,4.064259892166714e-1,1.425200001244263e-1,-2.068240023689327e-10
7.100000000000000e0,6.632474041368293e-1,5.056923903543490e-1,2.199485595471213e-1,2.040561760976604e-3,7.276815116624468e-1,2.837032690462511e-1,3.898728557746483e-1,2.055257744769348e-1,2.941293315552348e-2,1.431106790882054e-1,5.715553395441026e-1,3.350646219670466e-1,9.338003848885075e-2,-1.892549450488445e-10
7.200000000000000e0,5.741852061312978e-1,2.728802541699071e-1,1.648443254700205e-1,1.716732943934389e-1,6.093978740333664e-1,-6.363736569355230e-2,-1.044266289810981e-1,2.055257744733303e-1,2.549425784869298e-2,1.240440908884701e-1,5.620220454442350e-1,2.650985566924035e-1,1.728793978633615e-1,-2.067926940796383e-10
7.300000000000000e0,5.240448805617131e-1,1.079323765316604e-1,1.373115184214700e-1,3.298285711746314e-2,2.782267520705936e-1,-6.236199900727282e-2,-2.241409157932086e-1,2.055257744673811e-1,1.016754494531376e-1,4.947089955828119e-1,7.473544977914059e-1,1.977431768808122e-1,5.490232532778181e-2,-2.357390949114802e-10
7.400000000000000e0,4.506514958886901e-1,1.145233600412488e-1,1.015433853733570e-1,3.372253382175630e-1,5.532920836321689e-1,-3.242453635496712e-1,-5.860292838840452e-1,2.055257744670163e-1,7.516360644277198e-2,3.657137730666212e-1,6.828568865333107e-1,1.381520074364064e-1,1.789911060302830e-1,-2.375138974386459e-10
7.500000000000000e0,3.498584945982494e-1,9.053284142638384e-1,6.120048312127666e-2,1.930138266777801e-2,9.858302800528931e-1,8.248265484747836e-1,8.366820995095920e-1,2.055257744729142e-1,1.021539155483748e-1,4.970370057495512e-1,7.485185028747756e-1,8.620064999647614e-2,1.652808471287482e-1,-2.088174078096472e-10
7.600000000000000e0,2.322976041835512e-1,8.267556259182592e-1,2.698108845470890e-2,4.895882015412857e-3,8.586325963883811e-1,7.948786554481374e-1,9.257494518512245e-1,2.055257744788127e-1,1.114809589575911e-1,5.424183864057568e-1,7.712091932028784e-1,4.553617161210929e-2,1.832546351850122e-1,-1.801178095561795e-10
7.700000000000000e0,1.248016222138413e-1,2.798081419778891e-1,7.787722453603181e-3,4.386229460766688e-2,3.314581590391592e-1,2.281581249166190e-1,6.883466847761738e-1,2.055257744847130e-1,1.220733331826939e-1,5.939563224551854e-1,7.969781612275927e-1,1.753711628601200e-2,1.854847224863954e-1,-1.514092184962124e-10
7.800000000000000e0,5.906109875100465e-2,4.430283727396213e-1,1.744106692837962e-3,2.970874976525161e-3,4.477433544089844e-1,4.383133910702582e-1,9.789389094313333e-1,2.055257744890548e-1,1.922394038174636e-1,9.353542362040882e-1,9.676771181020442e-1,2.102696310483556e-3,3.022018558747232e-2,-1.302838947836449e-10
7.900000000000000e0,-1.259912430085609e-2,6.795257401627403e-2,7.936896657421130e-5,2.931532798745824e-2,9.734727097030646e-2,3.855787706224158e-2,3.960858550827046e-1,2.055257744949856e-1,1.364380605438958e-1,6.638489059542488e-1,8.319244529771244e-1,2.250027826751622e-3,1.658255191961238e-1,-1.014273109944952e-10
8.000000000000000e0,-1.334235635141924e-1,4.462329444321483e-1,8.900923650412867e-3,1.919180804358439e-2,4.743256761261456e-1,4.181402127381511e-1,8.815466540903595e-1,2.055257745046780e-1,1.532495432174085e-1,7.456463481854940e-1,8.728231740927470e-1,1.538364365096111e-2,1.117931822562919e-1,-5.426825655518996e-11
