a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
1.401797412136674e-3,7.123698431328683e2,-6.570000000000000e0,2.923116707799564e-5,3.630314406321944e8,1.961517022697417e4,7.622745414045689e8,7.622745414045689e8,7.622745414045689e8,0.000000000000000e0,0.000000000000000e0,6.603983777683397e-1,2.830618431009161e-1,5.653977913074430e-2,5.282698895653724e-1
1.415885710346803e-3,7.052716945953658e2,-6.560000000000000e0,2.974489189672937e-5,3.523022401267610e8,1.931770221620980e4,7.397459241016861e8,7.397459241016861e8,7.397459241016861e8,0.000000000000000e0,0.000000000000000e0,6.607701139701528e-1,2.832211777136876e-1,5.600870831615953e-2,5.280043541580799e-1
1.430115598307874e-3,6.982441738158852e2,-6.550000000000000e0,3.026652673110985e-5,3.418901354165946e8,1.902479566170633e4,7.178831280607237e8,7.178831280607237e8,7.178831280607237e8,0.000000000000000e0,0.000000000000000e0,6.611385638375972e-1,2.833791037286447e-1,5.548233243375827e-2,5.277411662168796e-1
1.444488499020543e-3,6.912865780364916e2,-6.540000000000000e0,3.079619198062548e-5,3.317857549045186e8,1.873637942487305e4,6.966664752892531e8,6.966664752892531e8,6.966664752892531e8,0.000000000000000e0,0.000000000000000e0,6.615037525787995e-1,2.835356319507188e-1,5.496061547048160e-2,5.274803077352404e-1
1.459005849786858e-3,6.843982114918092e2,-6.530000000000000e0,3.133400986821576e-5,3.219800039658852e8,1.845238350425351e4,6.760768693673594e8,6.760768693673594e8,6.760768693673594e8,0.000000000000000e0,0.000000000000000e0,6.618657052808314e-1,2.836907731329867e-1,5.444352158618179e-2,5.272217607930907e-1
1.473669102353996e-3,6.775783853394423e2,-6.520000000000000e0,3.188010446788749e-5,3.124640567628990e8,1.817273901672657e4,6.560957782597837e8,6.560957782597837e8,6.560957782597837e8,0.000000000000000e0,0.000000000000000e0,6.622244469089017e-1,2.838445379762432e-1,5.393101511485497e-2,5.269655075574278e-1
1.488479723059429e-3,6.708264175910939e2,-6.510000000000000e0,3.243460173262939e-5,3.032293483038193e8,1.789737817908941e4,6.367052176422479e8,6.367052176422479e8,6.367052176422479e8,0.000000000000000e0,0.000000000000000e0,6.625800023077808e-1,2.839969371267426e-1,5.342306056547663e-2,5.267115302827385e-1
1.503439192977572e-3,6.641416330443619e2,-6.500000000000000e0,3.299762952285139e-5,2.942675667254543e8,1.762623428973665e4,6.178877346966393e8,6.178877346966393e8,6.178877346966393e8,0.000000000000000e0,0.000000000000000e0,6.629323961949484e-1,2.841479811809449e-1,5.291962262410665e-2,5.264598113120533e-1
1.518549008067883e-3,6.575233632152207e2,-6.490000000000000e0,3.356931763525949e-5,2.855706458194382e8,1.735924171095832e4,5.996263924180737e8,5.996263924180737e8,5.996263924180737e8,0.000000000000000e0,0.000000000000000e0,6.632816531651196e-1,2.842976806807512e-1,5.242066615412914e-2,5.262103330770644e-1
1.533810679324463e-3,6.509709462711725e2,-6.480000000000000e0,3.414979783213471e-5,2.771307577698733e8,1.709633585135914e4,5.819047543657758e8,5.819047543657758e8,5.819047543657758e8,0.000000000000000e0,0.000000000000000e0,6.636277976879720e-1,2.844460461144883e-1,5.192615619753982e-2,5.259630780987699e-1
1.549225732927156e-3,6.444837269650616e2,-6.470000000000000e0,3.473920387104721e-5,2.689403061077665e8,1.683745314862147e4,5.647068698691705e8,5.647068698691705e8,5.647068698691705e8,0.000000000000000e0,0.000000000000000e0,6.639708541074522e-1,2.845930879166128e-1,5.143605797593496e-2,5.257180289879679e-1
1.564795710394167e-3,6.380610565695528e2,-6.460000000000000e0,3.533767153502923e-5,2.609919188736970e8,1.658253105256442e4,5.480172596712075e8,5.480172596712075e8,5.480172596712075e8,0.000000000000000e0,0.000000000000000e0,6.643108466411135e-1,2.847388164674345e-1,5.095033689145199e-2,5.254751684457259e-1
1.580522168736217e-3,6.317022928122535e2,-6.450000000000000e0,3.594533866321131e-5,2.532784419825500e8,1.633150800849354e4,5.318209019959753e8,5.318209019959753e8,5.318209019959753e8,0.000000000000000e0,0.000000000000000e0,6.646477993794869e-1,2.848832420928512e-1,5.046895852766184e-2,5.252344792638308e-1
1.596406680612249e-3,6.254067998114887e2,-6.440000000000000e0,3.656234518191787e-5,2.457929327843592e8,1.608432344083613e4,5.161032190280927e8,5.161032190280927e8,5.161032190280927e8,0.000000000000000e0,0.000000000000000e0,6.649817362854896e-1,2.850263750640951e-1,4.999188865041521e-2,5.249959443252077e-1
1.612450834486684e-3,6.191739480127129e2,-6.430000000000000e0,3.718883313622962e-5,2.385286538154555e8,1.584091773705692e4,5.008500637916950e8,5.008500637916950e8,5.008500637916950e8,0.000000000000000e0,0.000000000000000e0,6.653126811938593e-1,2.851682255974982e-1,4.951909320864252e-2,5.247595466043216e-1
1.628656234788281e-3,6.130031141255517e2,-6.420000000000000e0,3.782494672202973e-5,2.314790667363726e8,1.560123223189572e4,4.860477074215649e8,4.860477074215649e8,4.860477074215649e8,0.000000000000000e0,0.000000000000000e0,6.656406578126248e-1,2.853088038525606e-1,4.905053833481445e-2,5.245252691674072e-1
1.645024502070575e-3,6.068936810614740e2,-6.410000000000000e0,3.847083231851716e-5,2.246378264419815e8,1.536520919172030e4,4.716828267958978e8,4.716828267958978e8,4.716828267958978e8,0.000000000000000e0,0.000000000000000e0,6.659656897180334e-1,2.854481199356362e-1,4.858619034633030e-2,5.242930951731655e-1
1.661557273173934e-3,6.008450378720822e2,-6.400000000000000e0,3.912663852123327e-5,2.179987753538660e8,1.513279179932710e4,4.577424925517294e8,4.577424925517294e8,4.577424925517294e8,0.000000000000000e0,0.000000000000000e0,6.662878003571450e-1,2.855861838971280e-1,4.812601574572686e-2,5.240630078728634e-1
1.678256201389248e-3,5.948565796880164e2,-6.390000000000000e0,3.979251617557805e-5,2.115559378778823e8,1.490392413892503e4,4.442141574472075e8,4.442141574472075e8,4.442141574472075e8,0.000000000000000e0,0.000000000000000e0,6.666070130472556e-1,2.857230057314195e-1,4.766998122132492e-2,5.238349906106623e-1
1.695122956623251e-3,5.889277076584686e2,-6.380000000000000e0,4.046861841083181e-5,2.053035150253721e8,1.467855118137169e4,4.310856450674949e8,4.310856450674949e8,4.310856450674949e8,0.000000000000000e0,0.000000000000000e0,6.669233509751571e-1,2.858585953769833e-1,4.721805364785974e-2,5.236090268239304e-1
1.712159225565523e-3,5.830578288912948e2,-6.370000000000000e0,4.115510067469310e-5,1.992358791936775e8,1.445661876966853e4,4.183451388651659e8,4.183451388651659e8,4.183451388651659e8,0.000000000000000e0,0.000000000000000e0,6.672368371967617e-1,2.859929627162161e-1,4.677020008702226e-2,5.233851000435108e-1
1.729366711857156e-3,5.772463563937266e2,-6.360000000000000e0,4.185212076832150e-5,1.933475691009212e8,1.423807360470342e4,4.059811715245210e8,4.059811715245210e8,4.059811715245210e8,0.000000000000000e0,0.000000000000000e0,6.675474946367436e-1,2.861261175752968e-1,4.632638778795952e-2,5.231631938939800e-1
1.746747136261120e-3,5.714927090136708e2,-6.350000000000000e0,4.255983888194264e-5,1.876332848704819e8,1.402286323123560e4,3.939826146402246e8,3.939826146402246e8,3.939826146402246e8,0.000000000000000e0,0.000000000000000e0,6.678553460882178e-1,2.862580697240459e-1,4.588658418773622e-2,5.229432920938686e-1
1.764302236834335e-3,5.657963113815958e2,-6.340000000000000e0,4.327841763106743e-5,1.820878832607503e8,1.381093602411913e4,3.823386687009940e8,3.823386687009940e8,3.823386687009940e8,0.000000000000000e0,0.000000000000000e0,6.681604142124358e-1,2.863888288758075e-1,4.545075691175677e-2,5.227253784558783e-1
1.782033769101492e-3,5.601565938529907e2,-6.330000000000000e0,4.400802209299443e-5,1.767063730370052e8,1.360224117478961e4,3.710388533717055e8,3.710388533717055e8,3.710388533717055e8,0.000000000000000e0,0.000000000000000e0,6.684627215399532e-1,2.865184046860916e-1,4.501887377395510e-2,5.225094368869772e-1
1.799943506230591e-3,5.545729924514030e2,-6.320000000000000e0,4.474881984410507e-5,1.714839104768154e8,1.339672867789762e4,3.600729980558721e8,3.600729980558721e8,3.600729980558721e8,0.000000000000000e0,0.000000000000000e0,6.687622904678190e-1,2.866468067546859e-1,4.459090277749517e-2,5.222954513887472e-1
